用户编号：12
当前时间：2011-09-16T16:25:45:650
任务号:2,任务：任务2
小组号:2,小组:第2组
视频名称:憨豆先生1
问题类型:Comprehension
*************************Tile***********************
ComprehensionStart:2011-09-16T16:25:57:127
ComprehensionDown:2011-09-16T16:29:47:490
第0题的答案是：1,你选择的答案是：1
第1题的答案是：1,你选择的答案是：1
第2题的答案是：1,你选择的答案是：1
第3题的答案是：0,你选择的答案是：0
你的正确比例是4/4
MOVE: (810,119) 2011-09-16T16:26:07:775
MOVE: (812,119) 2011-09-16T16:26:07:783
MOVE: (813,119) 2011-09-16T16:26:07:807
MOVE: (814,119) 2011-09-16T16:26:07:823
MOVE: (816,119) 2011-09-16T16:26:07:831
MOVE: (818,121) 2011-09-16T16:26:07:839
MOVE: (820,122) 2011-09-16T16:26:07:847
MOVE: (822,124) 2011-09-16T16:26:07:855
MOVE: (827,126) 2011-09-16T16:26:07:863
MOVE: (829,127) 2011-09-16T16:26:07:871
MOVE: (831,128) 2011-09-16T16:26:07:879
MOVE: (834,128) 2011-09-16T16:26:07:887
MOVE: (835,129) 2011-09-16T16:26:07:895
MOVE: (836,129) 2011-09-16T16:26:07:903
MOVE: (838,129) 2011-09-16T16:26:07:911
MOVE: (841,130) 2011-09-16T16:26:07:919
MOVE: (845,132) 2011-09-16T16:26:07:927
MOVE: (851,134) 2011-09-16T16:26:07:935
MOVE: (858,137) 2011-09-16T16:26:07:943
MOVE: (867,141) 2011-09-16T16:26:07:951
MOVE: (876,146) 2011-09-16T16:26:07:959
MOVE: (886,151) 2011-09-16T16:26:07:968
MOVE: (896,156) 2011-09-16T16:26:07:975
MOVE: (903,159) 2011-09-16T16:26:07:983
MOVE: (910,163) 2011-09-16T16:26:07:991
MOVE: (915,166) 2011-09-16T16:26:07:999
MOVE: (918,167) 2011-09-16T16:26:08:7
MOVE: (919,169) 2011-09-16T16:26:08:15
MOVE: (920,170) 2011-09-16T16:26:08:23
MOVE: (920,171) 2011-09-16T16:26:08:31
MOVE: (920,172) 2011-09-16T16:26:08:39
MOVE: (921,173) 2011-09-16T16:26:08:55
MOVE: (921,174) 2011-09-16T16:26:08:62
MOVE: (921,175) 2011-09-16T16:26:08:71
MOVE: (921,177) 2011-09-16T16:26:08:78
MOVE: (921,179) 2011-09-16T16:26:08:87
MOVE: (921,180) 2011-09-16T16:26:08:94
MOVE: (922,181) 2011-09-16T16:26:08:103
MOVE: (922,184) 2011-09-16T16:26:08:111
MOVE: (922,185) 2011-09-16T16:26:08:119
MOVE: (922,186) 2011-09-16T16:26:08:126
MOVE: (923,189) 2011-09-16T16:26:08:135
MOVE: (923,192) 2011-09-16T16:26:08:143
MOVE: (923,193) 2011-09-16T16:26:08:151
MOVE: (923,195) 2011-09-16T16:26:08:159
MOVE: (925,197) 2011-09-16T16:26:08:167
MOVE: (926,200) 2011-09-16T16:26:08:175
MOVE: (926,202) 2011-09-16T16:26:08:183
MOVE: (927,204) 2011-09-16T16:26:08:191
MOVE: (929,208) 2011-09-16T16:26:08:199
MOVE: (929,210) 2011-09-16T16:26:08:206
MOVE: (930,211) 2011-09-16T16:26:08:215
MOVE: (931,213) 2011-09-16T16:26:08:223
MOVE: (932,215) 2011-09-16T16:26:08:231
MOVE: (932,216) 2011-09-16T16:26:08:239
MOVE: (932,218) 2011-09-16T16:26:08:247
MOVE: (933,220) 2011-09-16T16:26:08:255
MOVE: (933,221) 2011-09-16T16:26:08:263
MOVE: (933,222) 2011-09-16T16:26:08:271
MOVE: (934,224) 2011-09-16T16:26:08:279
MOVE: (934,226) 2011-09-16T16:26:08:296
MOVE: (934,227) 2011-09-16T16:26:08:311
MOVE: (934,230) 2011-09-16T16:26:08:319
MOVE: (934,231) 2011-09-16T16:26:08:327
MOVE: (934,233) 2011-09-16T16:26:08:335
MOVE: (934,234) 2011-09-16T16:26:08:343
MOVE: (934,236) 2011-09-16T16:26:08:351
MOVE: (934,237) 2011-09-16T16:26:08:359
MOVE: (933,238) 2011-09-16T16:26:08:367
MOVE: (933,240) 2011-09-16T16:26:08:375
MOVE: (933,241) 2011-09-16T16:26:08:391
MOVE: (930,242) 2011-09-16T16:26:09:223
MOVE: (922,248) 2011-09-16T16:26:09:231
MOVE: (910,255) 2011-09-16T16:26:09:239
MOVE: (899,260) 2011-09-16T16:26:09:247
MOVE: (889,268) 2011-09-16T16:26:09:255
MOVE: (878,274) 2011-09-16T16:26:09:263
MOVE: (868,281) 2011-09-16T16:26:09:271
MOVE: (857,288) 2011-09-16T16:26:09:278
MOVE: (847,294) 2011-09-16T16:26:09:287
MOVE: (837,301) 2011-09-16T16:26:09:295
MOVE: (826,309) 2011-09-16T16:26:09:303
MOVE: (816,317) 2011-09-16T16:26:09:311
MOVE: (804,329) 2011-09-16T16:26:09:318
MOVE: (783,349) 2011-09-16T16:26:09:331
MOVE: (753,376) 2011-09-16T16:26:09:334
MOVE: (718,411) 2011-09-16T16:26:09:343
MOVE: (672,455) 2011-09-16T16:26:09:350
MOVE: (623,507) 2011-09-16T16:26:09:359
MOVE: (574,558) 2011-09-16T16:26:09:366
MOVE: (527,609) 2011-09-16T16:26:09:374
MOVE: (482,660) 2011-09-16T16:26:09:382
MOVE: (441,703) 2011-09-16T16:26:09:390
MOVE: (410,740) 2011-09-16T16:26:09:398
MOVE: (381,768) 2011-09-16T16:26:09:406
MOVE: (357,788) 2011-09-16T16:26:09:414
MOVE: (343,798) 2011-09-16T16:26:09:422
MOVE: (334,803) 2011-09-16T16:26:09:430
MOVE: (328,806) 2011-09-16T16:26:09:438
MOVE: (326,806) 2011-09-16T16:26:09:446
MOVE: (324,806) 2011-09-16T16:26:09:454
MOVE: (323,806) 2011-09-16T16:26:09:462
MOVE: (322,806) 2011-09-16T16:26:09:470
MOVE: (321,806) 2011-09-16T16:26:09:478
MOVE: (320,805) 2011-09-16T16:26:09:486
MOVE: (319,804) 2011-09-16T16:26:09:494
MOVE: (317,803) 2011-09-16T16:26:09:502
MOVE: (314,801) 2011-09-16T16:26:09:510
MOVE: (310,799) 2011-09-16T16:26:09:518
MOVE: (306,796) 2011-09-16T16:26:09:527
MOVE: (301,793) 2011-09-16T16:26:09:534
MOVE: (295,788) 2011-09-16T16:26:09:543
MOVE: (288,783) 2011-09-16T16:26:09:550
MOVE: (282,777) 2011-09-16T16:26:09:558
MOVE: (274,771) 2011-09-16T16:26:09:566
MOVE: (268,763) 2011-09-16T16:26:09:574
MOVE: (261,754) 2011-09-16T16:26:09:582
MOVE: (252,744) 2011-09-16T16:26:09:590
MOVE: (244,736) 2011-09-16T16:26:09:598
MOVE: (235,728) 2011-09-16T16:26:09:607
MOVE: (227,722) 2011-09-16T16:26:09:614
MOVE: (218,717) 2011-09-16T16:26:09:622
MOVE: (210,713) 2011-09-16T16:26:09:630
MOVE: (203,710) 2011-09-16T16:26:09:638
MOVE: (198,707) 2011-09-16T16:26:09:646
MOVE: (195,705) 2011-09-16T16:26:09:654
MOVE: (194,705) 2011-09-16T16:26:09:662
MOVE: (192,704) 2011-09-16T16:26:09:670
MOVE: (192,703) 2011-09-16T16:26:09:727
MOVE: (190,703) 2011-09-16T16:26:09:734
MOVE: (188,703) 2011-09-16T16:26:09:750
MOVE: (185,702) 2011-09-16T16:26:09:759
MOVE: (181,701) 2011-09-16T16:26:09:767
MOVE: (177,700) 2011-09-16T16:26:09:774
