用户编号：08
当前时间：2011-09-16T17:12:16:974
任务号:1,任务：任务1
小组号:2,小组:第2组
视频名称:大雄兔
问题类型:Comprehension
*************************Tile***********************
ComprehensionStart:2011-09-16T17:12:22:140
ComprehensionDown:2011-09-16T17:13:26:543
第0题的答案是：0,你选择的答案是：0
第1题的答案是：1,你选择的答案是：1
第2题的答案是：1,你选择的答案是：1
第3题的答案是：1,你选择的答案是：1
你的正确比例是4/4
MOVE: (231,409) 2011-09-16T17:12:45:571
MOVE: (232,407) 2011-09-16T17:12:45:579
MOVE: (234,405) 2011-09-16T17:12:45:587
MOVE: (235,403) 2011-09-16T17:12:45:595
MOVE: (239,398) 2011-09-16T17:12:45:603
MOVE: (242,394) 2011-09-16T17:12:45:612
MOVE: (246,389) 2011-09-16T17:12:45:619
MOVE: (251,382) 2011-09-16T17:12:45:628
MOVE: (256,376) 2011-09-16T17:12:45:635
MOVE: (263,370) 2011-09-16T17:12:45:643
MOVE: (267,364) 2011-09-16T17:12:45:651
MOVE: (273,357) 2011-09-16T17:12:45:659
MOVE: (279,351) 2011-09-16T17:12:45:667
MOVE: (285,345) 2011-09-16T17:12:45:675
MOVE: (294,331) 2011-09-16T17:12:45:694
MOVE: (297,325) 2011-09-16T17:12:45:699
MOVE: (301,320) 2011-09-16T17:12:45:706
MOVE: (305,315) 2011-09-16T17:12:45:715
MOVE: (308,311) 2011-09-16T17:12:45:723
MOVE: (310,308) 2011-09-16T17:12:45:730
MOVE: (313,306) 2011-09-16T17:12:45:738
MOVE: (315,303) 2011-09-16T17:12:45:747
MOVE: (317,302) 2011-09-16T17:12:45:755
MOVE: (318,300) 2011-09-16T17:12:45:762
MOVE: (320,299) 2011-09-16T17:12:45:771
MOVE: (321,297) 2011-09-16T17:12:45:779
MOVE: (323,295) 2011-09-16T17:12:45:787
MOVE: (323,294) 2011-09-16T17:12:45:795
MOVE: (324,292) 2011-09-16T17:12:45:802
MOVE: (325,292) 2011-09-16T17:12:45:810
MOVE: (327,289) 2011-09-16T17:12:45:819
MOVE: (328,287) 2011-09-16T17:12:45:826
MOVE: (329,285) 2011-09-16T17:12:45:834
MOVE: (331,283) 2011-09-16T17:12:45:842
MOVE: (331,279) 2011-09-16T17:12:45:850
MOVE: (334,276) 2011-09-16T17:12:45:858
MOVE: (335,274) 2011-09-16T17:12:45:866
MOVE: (336,269) 2011-09-16T17:12:45:874
MOVE: (337,265) 2011-09-16T17:12:45:882
MOVE: (338,262) 2011-09-16T17:12:45:891
MOVE: (340,257) 2011-09-16T17:12:45:899
MOVE: (340,253) 2011-09-16T17:12:45:907
MOVE: (341,250) 2011-09-16T17:12:45:915
MOVE: (341,247) 2011-09-16T17:12:45:923
MOVE: (341,244) 2011-09-16T17:12:45:930
MOVE: (341,241) 2011-09-16T17:12:45:940
MOVE: (341,238) 2011-09-16T17:12:45:947
MOVE: (341,237) 2011-09-16T17:12:45:955
MOVE: (341,236) 2011-09-16T17:12:45:963
MOVE: (341,234) 2011-09-16T17:12:45:971
MOVE: (340,234) 2011-09-16T17:12:45:979
MOVE: (339,234) 2011-09-16T17:12:45:987
MOVE: (339,233) 2011-09-16T17:12:45:995
MOVE: (338,233) 2011-09-16T17:12:46:3
MOVE: (339,232) 2011-09-16T17:12:46:387
MOVE: (343,232) 2011-09-16T17:12:46:395
MOVE: (348,232) 2011-09-16T17:12:46:403
MOVE: (354,232) 2011-09-16T17:12:46:411
MOVE: (363,231) 2011-09-16T17:12:46:419
MOVE: (372,231) 2011-09-16T17:12:46:427
MOVE: (383,229) 2011-09-16T17:12:46:435
MOVE: (396,228) 2011-09-16T17:12:46:443
MOVE: (409,227) 2011-09-16T17:12:46:451
MOVE: (423,226) 2011-09-16T17:12:46:459
MOVE: (438,225) 2011-09-16T17:12:46:467
MOVE: (459,224) 2011-09-16T17:12:46:475
MOVE: (479,222) 2011-09-16T17:12:46:483
MOVE: (499,222) 2011-09-16T17:12:46:491
MOVE: (517,221) 2011-09-16T17:12:46:499
MOVE: (533,221) 2011-09-16T17:12:46:507
MOVE: (554,220) 2011-09-16T17:12:46:515
MOVE: (569,220) 2011-09-16T17:12:46:523
MOVE: (586,218) 2011-09-16T17:12:46:531
MOVE: (599,218) 2011-09-16T17:12:46:539
MOVE: (616,218) 2011-09-16T17:12:46:547
MOVE: (631,218) 2011-09-16T17:12:46:555
MOVE: (644,218) 2011-09-16T17:12:46:563
MOVE: (658,218) 2011-09-16T17:12:46:571
MOVE: (671,218) 2011-09-16T17:12:46:578
MOVE: (684,218) 2011-09-16T17:12:46:587
MOVE: (695,220) 2011-09-16T17:12:46:595
MOVE: (705,220) 2011-09-16T17:12:46:603
MOVE: (717,222) 2011-09-16T17:12:46:611
MOVE: (725,224) 2011-09-16T17:12:46:618
MOVE: (734,226) 2011-09-16T17:12:46:626
MOVE: (741,230) 2011-09-16T17:12:46:634
MOVE: (748,233) 2011-09-16T17:12:46:642
MOVE: (756,237) 2011-09-16T17:12:46:650
MOVE: (762,241) 2011-09-16T17:12:46:659
MOVE: (769,244) 2011-09-16T17:12:46:666
MOVE: (775,248) 2011-09-16T17:12:46:674
MOVE: (781,253) 2011-09-16T17:12:46:682
MOVE: (788,257) 2011-09-16T17:12:46:690
MOVE: (793,262) 2011-09-16T17:12:46:698
MOVE: (796,265) 2011-09-16T17:12:46:706
MOVE: (800,268) 2011-09-16T17:12:46:714
MOVE: (802,271) 2011-09-16T17:12:46:723
MOVE: (805,273) 2011-09-16T17:12:46:730
MOVE: (806,274) 2011-09-16T17:12:46:738
MOVE: (807,276) 2011-09-16T17:12:46:746
MOVE: (808,276) 2011-09-16T17:12:46:754
MOVE: (808,277) 2011-09-16T17:12:46:762
