用户编号：12
当前时间：2011-09-16T16:13:44:791
任务号:5,任务：学习
小组号:3,小组:第3组
视频名称:大头儿子小头爸爸
问题类型:Comprehension
*************************Tapestry***********************
ComprehensionStart:2011-09-16T16:15:53:566
ComprehensionDown:2011-09-16T16:17:49:457
第0题的答案是：1,你选择的答案是：1
第1题的答案是：0,你选择的答案是：0
第2题的答案是：1,你选择的答案是：1
第3题的答案是：1,你选择的答案是：1
你的正确比例是4/4
MOVE: (737,687) 2011-09-16T16:14:03:116
MOVE: (734,687) 2011-09-16T16:14:03:125
MOVE: (732,687) 2011-09-16T16:14:03:133
MOVE: (730,687) 2011-09-16T16:14:03:141
MOVE: (728,688) 2011-09-16T16:14:03:148
MOVE: (726,688) 2011-09-16T16:14:03:156
MOVE: (725,688) 2011-09-16T16:14:03:165
MOVE: (723,688) 2011-09-16T16:14:03:172
MOVE: (722,688) 2011-09-16T16:14:03:180
MOVE: (721,688) 2011-09-16T16:14:03:189
MOVE: (720,688) 2011-09-16T16:14:03:204
MOVE: (719,688) 2011-09-16T16:14:03:212
MOVE: (719,689) 2011-09-16T16:14:03:220
MOVE: (718,689) 2011-09-16T16:14:03:229
MOVE: (714,689) 2011-09-16T16:14:03:245
MOVE: (710,690) 2011-09-16T16:14:03:252
MOVE: (705,691) 2011-09-16T16:14:03:260
MOVE: (701,691) 2011-09-16T16:14:03:268
MOVE: (695,692) 2011-09-16T16:14:03:276
MOVE: (689,692) 2011-09-16T16:14:03:284
MOVE: (685,692) 2011-09-16T16:14:03:292
MOVE: (681,692) 2011-09-16T16:14:03:300
MOVE: (676,693) 2011-09-16T16:14:03:308
MOVE: (672,694) 2011-09-16T16:14:03:316
MOVE: (666,695) 2011-09-16T16:14:03:324
MOVE: (662,695) 2011-09-16T16:14:03:332
MOVE: (657,696) 2011-09-16T16:14:03:340
MOVE: (652,697) 2011-09-16T16:14:03:348
MOVE: (646,698) 2011-09-16T16:14:03:356
MOVE: (641,699) 2011-09-16T16:14:03:364
MOVE: (634,699) 2011-09-16T16:14:03:372
MOVE: (629,700) 2011-09-16T16:14:03:380
MOVE: (621,702) 2011-09-16T16:14:03:389
MOVE: (617,703) 2011-09-16T16:14:03:396
MOVE: (611,704) 2011-09-16T16:14:03:405
MOVE: (606,705) 2011-09-16T16:14:03:412
